"computerName","datetime","CounterCategory","CounterName","Instance","Value"
"sfbkamehameha","2018-05-6 11:03:33","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","300.59"
"sfbkamehameha","2018-05-6 11:03:33","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:34","processor(_total)","% processor time","_total","0.34"
"sfbkamehameha","2018-05-6 11:03:34","memory","available mbytes",,"2646"
"sfbkamehameha","2018-05-6 11:03:34","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.01"
"sfbkamehameha","2018-05-6 11:03:34","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:34","physicaldisk(_total)","avg. disk sec/transfer","_total","0.01"
"sfbkamehameha","2018-05-6 11:03:34","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","301.14"
"sfbkamehameha","2018-05-6 11:03:34","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:35","processor(_total)","% processor time","_total","1.43"
"sfbkamehameha","2018-05-6 11:03:35","memory","available mbytes",,"2645"
"sfbkamehameha","2018-05-6 11:03:35","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.03"
"sfbkamehameha","2018-05-6 11:03:35","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:35","physicaldisk(_total)","avg. disk sec/transfer","_total","0.03"
"sfbkamehameha","2018-05-6 11:03:35","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","300.88"
"sfbkamehameha","2018-05-6 11:03:35","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:36","processor(_total)","% processor time","_total","1.41"
"sfbkamehameha","2018-05-6 11:03:36","memory","available mbytes",,"2647"
"sfbkamehameha","2018-05-6 11:03:36","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.03"
"sfbkamehameha","2018-05-6 11:03:36","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:36","physicaldisk(_total)","avg. disk sec/transfer","_total","0.03"
